manual,community/society/politics,creativity/art,exercise/fitness,family,food/eating,friends,general / other,health/medical,love/romance,money/finances,recreation/leisure,relationships/marriage/partnership,school/learning,self/growth/habits,sleep/rest,spirituality/religion,technology/media/internet,travel/nature,work/career
exercise/fitness,2,1,0,2,0,1,10,0,1,2,2,1,2,11,4,1,0,3,27
family,1,3,4,0,24,0,11,7,12,3,8,23,13,4,1,2,6,1,20
food/eating,0,0,1,11,0,0,18,0,2,3,1,3,0,1,2,1,2,0,2
friends,1,1,2,0,7,0,6,1,2,1,2,2,3,2,0,4,3,2,5
god,0,0,0,2,0,0,1,0,3,0,0,2,1,0,2,55,0,1,0
health/medical,1,0,0,7,0,2,14,0,1,2,1,1,1,2,2,2,0,1,6
love/romance,0,2,0,1,5,2,7,2,0,0,1,0,1,0,2,2,0,0,9
recreation/leisure,0,0,6,1,4,2,17,3,2,0,0,2,1,3,3,0,0,0,6
school/learning,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5
sleep/rest,0,0,0,1,0,0,6,1,2,0,0,0,1,0,0,0,0,1,5
work/career,1,2,4,2,1,2,18,1,1,0,0,0,5,5,3,0,1,3,0
