manual,community/society/politics,creativity/art,exercise/fitness,family,food/eating,friends,general / other,health/medical,love/romance,money/finances,recreation/leisure,relationships/marriage/partnership,school/learning,self/growth/habits,sleep/rest,spirituality/religion,technology/media/internet,travel/nature,work/career
exercise/fitness,1,1,0,3,0,1,10,0,1,2,2,1,3,9,3,1,0,1,32
family,1,2,1,0,22,0,11,6,8,5,9,25,9,3,1,1,6,4,21
food/eating,0,0,1,12,0,1,18,0,2,3,1,5,0,1,2,1,2,0,2
friends,0,1,2,0,7,0,6,1,2,1,2,3,2,2,0,3,3,1,6
god,0,1,0,3,0,0,1,0,3,0,0,1,1,0,1,55,0,1,0
health/medical,1,1,0,5,0,3,14,0,1,1,1,1,2,2,2,2,0,0,5
love/romance,0,1,0,1,5,1,7,1,0,0,1,0,1,0,3,2,0,0,7
recreation/leisure,0,0,5,2,4,2,17,4,3,0,0,3,1,3,3,0,0,0,7
school/learning,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5
sleep/rest,0,0,0,1,0,0,6,1,2,0,0,2,1,0,0,0,0,1,3
work/career,1,1,3,2,1,1,18,1,0,0,2,0,6,4,4,0,0,3,0
